요일,출발,x1,y1,도착,x2,y2,이동인구(합)
주말,11190,37.5236111111111,126.898341666666,11170,37.49265,126.889597222222,5322.0
주중,11040,37.5606111111111,127.039,11020,37.5610027777777,126.999641666666,5268.0
주중,11030,37.5360944444444,126.967522222222,11230,37.514575,127.049555555555,5267.0
주중,11020,37.5610027777777,126.999641666666,11030,37.5360944444444,126.967522222222,5266.0
주말,11010,37.5703777777777,126.981641666666,11080,37.5863833333333,127.020333333333,5215.0
주중,11170,37.49265,126.889597222222,11180,37.4491083333333,126.904197222222,5182.0
주말,11220,37.4807861111111,127.034811111111,11210,37.4753861111111,126.953844444444,5170.0
주중,11230,37.514575,127.049555555555,11130,37.5763666666666,126.938897222222,5140.0
주중,11100,37.6658333333333,127.049522222222,11090,37.6369555555555,127.027719444444,5140.0
주중,11230,37.514575,127.049555555555,11170,37.49265,126.889597222222,5064.0
주말,11200,37.5096555555555,126.941575,11210,37.4753861111111,126.953844444444,5018.0
주중,11030,37.5360944444444,126.967522222222,11210,37.4753861111111,126.953844444444,5011.0
주중,11100,37.6658333333333,127.049522222222,11110,37.6514611111111,127.058388888888,4959.0
주중,11010,37.5703777777777,126.981641666666,11140,37.5607055555555,126.910530555555,4949.0
주중,11200,37.5096555555555,126.941575,11220,37.4807861111111,127.034811111111,4948.0
주중,11140,37.5607055555555,126.910530555555,11060,37.571625,127.042141666666,4940.0
주중,11140,37.5607055555555,126.910530555555,11170,37.49265,126.889597222222,4938.0
주말,11030,37.5360944444444,126.967522222222,11140,37.5607055555555,126.910530555555,4934.0
주중,11040,37.5606111111111,127.039,11230,37.514575,127.049555555555,4912.0
주말,11020,37.5610027777777,126.999641666666,11010,37.5703777777777,126.981641666666,4898.0
주말,11140,37.5607055555555,126.910530555555,11030,37.5360944444444,126.967522222222,4877.0
주말,11230,37.514575,127.049555555555,11040,37.5606111111111,127.039,4856.0
주말,11040,37.5606111111111,127.039,11050,37.5357388888888,127.084533333333,4854.0
주중,11020,37.5610027777777,126.999641666666,11210,37.4753861111111,126.953844444444,4845.0
주중,11210,37.4753861111111,126.953844444444,11180,37.4491083333333,126.904197222222,4782.0
주중,11220,37.4807861111111,127.034811111111,11050,37.5357388888888,127.084533333333,4764.0
주중,11050,37.5357388888888,127.084533333333,11230,37.514575,127.049555555555,4753.0
주말,11210,37.4753861111111,126.953844444444,11200,37.5096555555555,126.941575,4744.0
주말,11050,37.5357388888888,127.084533333333,11040,37.5606111111111,127.039,4699.0
주중,11110,37.6514611111111,127.058388888888,11080,37.5863833333333,127.020333333333,4694.0
주중,11230,37.514575,127.049555555555,11020,37.5610027777777,126.999641666666,4674.0
주중,11050,37.5357388888888,127.084533333333,11250,37.5273666666666,127.125863888888,4672.0
주말,11220,37.4807861111111,127.034811111111,11200,37.5096555555555,126.941575,4662.0
주중,11010,37.5703777777777,126.981641666666,11120,37.5096555555555,126.941575,4643.0
주말,11230,37.514575,127.049555555555,11030,37.5360944444444,126.967522222222,4631.0
주중,11020,37.5610027777777,126.999641666666,11050,37.5357388888888,127.084533333333,4626.0
주중,11240,37.5117555555555,127.107930555555,11210,37.4753861111111,126.953844444444,4602.0
주말,11230,37.514575,127.049555555555,11200,37.5096555555555,126.941575,4600.0
주중,11080,37.5863833333333,127.020333333333,11110,37.6514611111111,127.058388888888,4596.0
